iter	Passed	Remaining
0	0	57
1	1	53
2	1	50
3	1	44
4	2	51
5	3	50
6	3	48
7	4	47
8	4	46
9	5	46
10	5	45
11	6	44
12	6	43
13	6	42
14	7	41
15	7	41
16	8	40
17	8	39
18	9	39
19	9	38
20	10	37
21	10	37
22	10	36
23	11	35
24	11	35
25	12	35
26	12	34
27	13	34
28	13	33
29	14	33
30	14	32
31	15	31
32	15	31
33	15	30
34	16	30
35	16	29
36	17	29
37	18	29
38	19	30
39	19	29
40	20	29
41	20	28
42	20	27
43	21	27
44	21	26
45	22	26
46	22	25
47	23	25
48	23	24
49	23	23
50	24	23
51	24	22
52	25	22
53	25	21
54	26	21
55	26	20
56	26	20
57	27	19
58	27	19
59	28	18
60	28	18
61	29	17
62	29	17
63	29	16
64	30	16
65	30	15
66	31	15
67	31	14
68	32	14
69	32	14
70	33	13
71	33	13
72	33	12
73	34	12
74	34	11
75	35	11
76	35	10
77	36	10
78	36	9
79	36	9
80	37	8
81	37	8
82	38	7
83	38	7
84	39	6
85	39	6
86	40	6
87	40	5
88	41	5
89	41	4
90	41	4
91	42	3
92	42	3
93	43	2
94	43	2
95	43	1
96	44	1
97	44	0
98	45	0
99	45	0
