iter	Passed	Remaining
0	58	58918
1	59	29698
2	60	19946
3	60	15068
4	60	12121
5	61	10158
6	61	8756
7	62	7712
8	62	6892
9	63	6237
10	63	5701
11	63	5252
12	64	4876
13	64	4549
14	64	4266
15	65	4029
16	65	3810
17	66	3614
18	66	3439
19	67	3286
20	67	3145
21	67	3019
22	68	2906
23	68	2801
24	69	2701
25	69	2609
26	70	2523
27	70	2444
28	70	2371
29	71	2303
30	71	2238
31	71	2176
32	72	2119
33	72	2064
34	73	2013
35	73	1966
36	73	1922
37	74	1879
38	74	1837
39	74	1798
40	75	1762
41	75	1726
42	76	1693
43	76	1661
44	76	1631
45	77	1602
46	77	1574
47	78	1547
48	78	1523
49	78	1498
50	79	1474
51	79	1450
52	79	1427
53	80	1405
54	80	1384
55	80	1365
56	81	1345
57	81	1327
58	82	1309
59	82	1291
60	82	1275
61	83	1258
62	83	1244
63	84	1230
64	84	1215
65	84	1201
66	85	1187
67	85	1173
68	86	1160
69	86	1147
70	86	1135
71	87	1122
72	87	1110
73	87	1099
74	88	1088
75	88	1077
76	89	1067
77	89	1056
78	89	1045
79	90	1036
80	90	1026
81	90	1017
82	91	1005
83	91	996
84	91	987
85	92	978
86	92	970
87	92	961
88	93	953
89	93	946
90	94	939
91	94	931
92	94	924
93	95	916
94	95	909
95	95	902
96	96	895
97	96	888
98	96	882
99	97	876
100	97	869
101	98	863
102	98	857
103	98	851
104	99	846
105	99	840
106	100	835
107	100	830
108	100	824
109	101	819
110	101	814
111	102	809
112	102	803
113	102	799
114	103	794
115	103	789
116	103	784
117	104	779
118	104	775
119	105	770
120	105	765
121	105	760
122	106	756
123	106	752
124	106	748
125	107	744
126	107	740
127	108	736
128	108	732
129	108	728
130	109	725
131	109	721
132	110	717
133	110	714
134	110	711
135	111	707
136	111	703
137	112	699
138	112	696
139	112	693
140	113	690
141	113	686
142	114	683
143	114	680
144	114	676
145	115	673
146	115	670
147	115	667
148	116	664
149	116	662
150	117	658
151	117	655
152	118	653
153	118	650
154	118	647
155	119	644
156	119	641
157	119	639
158	120	636
159	120	633
160	120	630
161	121	627
162	121	624
163	122	622
164	122	619
165	122	617
166	123	614
167	123	611
168	124	609
169	124	607
170	124	604
171	125	605
172	126	603
173	126	601
174	127	598
175	127	596
176	127	593
177	128	591
178	128	588
179	128	586
180	129	584
181	129	582
182	129	579
183	130	577
184	130	575
185	130	573
186	131	570
187	131	568
188	132	566
189	132	564
190	132	563
191	133	561
192	133	559
193	134	557
194	134	555
195	134	553
196	135	551
197	135	549
198	136	547
199	136	545
200	136	543
201	137	542
202	137	540
203	138	538
204	138	536
205	139	535
206	139	534
207	140	533
208	140	531
209	140	529
210	141	527
211	141	526
212	142	524
213	142	523
214	142	521
215	143	519
216	143	518
217	143	516
218	144	514
219	144	512
220	145	511
221	145	509
222	145	507
223	146	506
224	146	504
225	146	502
226	147	501
227	147	499
228	148	498
229	148	497
230	148	495
231	149	493
232	149	491
233	149	490
234	150	488
235	150	487
236	150	485
237	151	483
238	151	482
239	152	481
240	152	479
241	152	478
242	153	477
243	153	476
244	154	475
245	154	473
246	154	472
247	155	470
248	155	469
249	155	467
250	156	466
251	156	465
252	157	463
253	157	462
254	157	461
255	158	459
256	158	458
257	158	456
258	159	455
259	159	454
260	160	453
261	160	451
262	160	450
263	161	449
264	161	448
265	161	446
266	162	445
267	162	444
268	163	443
269	163	442
270	163	440
271	164	439
272	164	438
273	165	437
274	165	436
275	165	435
276	166	433
277	166	432
278	167	431
279	167	430
280	167	429
281	168	428
282	168	427
283	169	426
284	169	425
285	169	424
286	170	422
287	170	421
288	170	420
289	171	419
290	171	418
291	172	417
292	172	416
293	172	414
294	173	413
295	173	412
296	173	411
297	174	410
298	174	409
299	174	408
300	175	407
301	175	406
302	176	405
303	176	404
304	176	402
305	177	401
306	177	400
307	177	399
308	178	398
309	178	397
